REASON;JOB;BAD;LOAN;MORTDUE;VALUE;YOJ;DEROG;DELINQ;CLAGE;NINQ;DEBTINC;gDEBTINC
HomeImp;;0;6000;;53190;0;0;0;;0;15,174415;1
HomeImp;Self;0;5200;16324;45187;;0;0;221,1180817;0;42,71209384;2
HomeImp;Self;0;5600;15275;47954;;0;0;204,335245;0;42,39776964;2
DebtCon;Self;1;5900;;28000;1;2;1;36,76666667;1;;3
HomeImp;Office;0;5700;49514;58249;21;0;0;212,5391151;0;21,25802688;1
HomeImp;Office;1;4000;26572;31960;11;0;0;117,7951039;0;41,28649195;1
DebtCon;Other;0;5000;80153;97275;1;0;0;120,6750632;2;37,51270841;1
;Mgr;0;5000;68739;93435;3;0;0;148,7204047;0;36,66927861;1
DebtCon;;0;5700;49806;82242;3;0;0;210,3474786;3;31,2434087;1
HomeImp;Sales;0;5300;66987;65111;4;1;0;175,3287038;1;40,44257039;1
HomeImp;ProfExe;1;4700;49100;58238;0,1;0;0;61,8;2;;3
DebtCon;Other;0;5700;26927;35461;0;1;0;21,79935215;10;29,43966424;1
HomeImp;Other;0;4300;72021;80027;2;2;0;263,9703003;0;36,43209394;1
DebtCon;Sales;0;5100;179725;251962;;0;0;127,4988134;0;40,30825936;1
HomeImp;Other;1;3000;;14500;3;0;0;9,3;14;;3
DebtCon;Other;1;6000;22859;32200;4;0;0;83,33333333;3;;3
HomeImp;Other;1;5000;16600;25250;6;0;0;88,7;1;;3
HomeImp;Other;1;5100;9900;30451;11;0;0;21,2;0;;3
DebtCon;ProfExe;0;4100;57992;63797;7;0;4;165,505037;1;22,27817437;1
HomeImp;Mgr;1;3800;19135;97692;1,6;1;6;252,6333333;1;;3
HomeImp;ProfExe;0;4800;80482;88342;7;0;0;275,0323948;0;43,71763511;2
HomeImp;Other;1;4100;;19132;0;0;0;100,7746522;0;33,8409199;1
DebtCon;Other;1;5200;;9500;1;0;1;81,1;1;;3
HomeImp;ProfExe;0;5700;28127;36524;10;0;0;181,2829568;0;24,33953357;1
HomeImp;Office;0;4200;50216;58541;19;0;0;209,8713022;0;20,20803267;1
HomeImp;Mgr;1;4500;34184;46000;3,5;0;1;122,6;2;;3
HomeImp;Other;0;5100;62702;79784;2;0;0;108,0725908;0;43,29013982;2
HomeImp;ProfExe;1;5700;58400;75000;4;0;0;177,5;2;;3
DebtCon;;0;5400;48152;55760;6;;0;78,45212577;;35,763638;1
HomeImp;Office;0;5200;91250;110000;24;0;0;123,7666667;1;;3
HomeImp;Mgr;1;2200;90957;102600;7;2;6;122,9;1;;3
HomeImp;Office;1;5000;10171;26809;13;3;6;228,3;0;;3
DebtCon;Other;1;5500;24700;35675;1;0;3;153,9333333;3;;3
DebtCon;Mgr;1;5900;106650;;1;0;6;250,5666667;4;;3
HomeImp;Other;1;5500;40584;46645;4;0;1;136,3206375;0;34,49470896;1
HomeImp;ProfExe;0;6000;51000;86125;6;0;0;222,1666667;2;;3
HomeImp;Other;1;4500;39000;66000;1;0;0;170,3666667;1;;3
HomeImp;Office;1;3400;37000;52000;2;0;1;183,2999156;0;;3
DebtCon;ProfExe;1;5000;71571;85100;1,4;0;1;82,13333333;0;;3
HomeImp;;0;5800;;34704;;;;;;34,17405555;1
HomeImp;Other;0;6000;79046;103048;0;0;0;181,696538;0;37,28998992;1
HomeImp;Office;0;5300;50934;62957;21;0;0;197,2419573;0;19,35050563;1
DebtCon;;0;5000;70470;77908;5;;;;;;3
DebtCon;Sales;0;5400;68625;82304;2;0;0;136,6329442;0;32,05002349;1
HomeImp;Office;0;3900;102143;118742;2;0;0;85,27736558;0;29,34392109;1
HomeImp;Other;0;5400;65814;85848;4;0;0;122,9402886;0;44,09232568;2
HomeImp;Office;0;6000;95232;115977;22;0;0;149,0229081;1;37,95433691;1
HomeImp;Other;0;6000;72951;80000;22,8;0;0;343,9;1;;3
HomeImp;;0;5500;;35402;;;;;;35,27207374;1
HomeImp;Other;0;4200;66272;82953;3;0;0;110,2786626;0;43,45058791;2
DebtCon;;0;5500;78059;78179;5;;;;;20,67931358;1
HomeImp;Sales;0;5500;72147;69918;4;2;0;158,5344979;0;43,40443024;2
HomeImp;Office;0;2300;102370;120953;2;0;0;90,99253347;0;31,58850318;1
HomeImp;ProfExe;1;3600;61584;61800;10;;;;;;3
HomeImp;ProfExe;1;3200;48603;61000;28;0;4;122,0333333;1;;3
HomeImp;Other;1;2000;45000;55000;3;0;0;86,06666667;2;;3
HomeImp;ProfExe;1;5000;31000;47350;12;;;;;;3
DebtCon;Other;1;4000;29562;37200;6;0;0;92,13333333;1;;3
HomeImp;Office;0;3000;104570;121729;2;0;0;85,88437189;0;32,05978327;1
HomeImp;Other;1;6000;33600;;2;0;0;140,9333333;1;;3
HomeImp;Other;1;1800;28502;43034;11;0;0;88,76602988;0;36,88489409;1
HomeImp;ProfExe;1;4500;118000;146870;4,5;2;0;203,8666667;1;;3
DebtCon;ProfExe;1;5000;81748;;14;1;2;144,0666667;2;;3
HomeImp;Other;0;5600;76407;77485;9;0;0;91,68377063;0;37,77335098;1
HomeImp;Office;1;6000;47625;85925;0,1;2;1;154,1333333;4;;3
HomeImp;Office;0;5700;100934;111496;23;0;0;117,4995929;0;38,75056267;1
HomeImp;Sales;0;4000;64240;63990;5;2;0;160,3;1;;3
HomeImp;Mgr;1;4000;45000;58350;3,5;0;0;162;3;;3
HomeImp;Other;0;5700;76948;85753;7;0;0;128,4764515;0;37,85968784;1
HomeImp;Other;1;1100;25860;39025;10,5;0;0;94,36666667;1;;3
HomeImp;Office;0;3600;52337;63989;20;0;0;204,2724988;0;20,47091551;1
DebtCon;Sales;1;5700;77213;92661;0;0;0;97,13317095;1;41,77788863;1
HomeImp;Other;0;5500;70481;82446;8;0;1;116,5919769;0;37,61268272;1
DebtCon;Other;0;5700;28116;33450;0;1;0;15,39658739;9;30,0170133;1
HomeImp;ProfExe;1;4000;17000;52012;22;3;1;85,33333333;1;;3
DebtCon;Other;1;3000;20000;29750;2;0;0;187,0666667;0;;3
HomeImp;;0;5300;;49396;0;0;0;;0;12,04367058;1
DebtCon;;0;5300;73698;84427;4;;;;;19,13120118;1
HomeImp;Other;0;4500;66127;79087;4;1;0;81,3490651;0;40,70530876;1
DebtCon;Other;0;5200;;36425;2;0;0;266,8134646;1;23,79740106;1
HomeImp;Other;1;3700;17857;21144;5;0;0;129,7173231;1;26,63434752;1
HomeImp;Other;0;6000;69876;94394,07;0;0;1;179,5666667;0;;3
HomeImp;Other;1;5000;;74500;19;;;;;;3
HomeImp;Sales;1;2000;;62250;16;0;0;115,8;0;;3
HomeImp;Sales;1;5100;129319;141875;7;1;0;157,8598021;0;25,65074122;1
HomeImp;Office;0;5800;;73804;1;0;0;71,76655716;0;41,28742339;1
HomeImp;Other;0;5800;46595;58191;5;0;0;80,13174641;0;24,14015367;1
DebtCon;Sales;0;4300;71206;78698;3;0;0;129,932869;0;34,18137652;1
HomeImp;Other;0;4300;68815;79852;6;0;0;105,1207088;0;41,80637615;1
HomeImp;Other;0;5800;;36385;2;0;0;266,5533944;1;43,30976454;2
DebtCon;ProfExe;0;4900;57461;68494;8;0;4;183,6356132;0;22,79542355;1
HomeImp;Other;1;2500;25116;36350;10;1;2;276,9666667;0;;3
HomeImp;Other;1;3200;54000;64850;1;0;0;121,8666667;3;;3
HomeImp;Other;0;5100;66834;87361;0;2;0;290,034108;0;38,76698507;1
DebtCon;ProfExe;0;4900;58688;63348;9;0;3;179,1625747;2;22,54439284;1
HomeImp;Other;1;2000;32700;46740;3;0;2;216,9333333;1;;3
DebtCon;;0;5500;43486;81600;4;0;0;216,1333333;4;;3
HomeImp;Other;1;4200;34800;50225;2;1;0;93,5;1;;3
HomeImp;Office;0;5700;;68591;0;0;0;69,64566047;0;41,18503956;1
HomeImp;Other;1;1800;48649;57037;5;3;2;77,1;1;;3
HomeImp;ProfExe;0;5400;86922;119846;5;0;0;185,0763473;1;26,35488929;1
HomeImp;ProfExe;1;4700;26900;45000;9;1;2;90,46666667;1;;3
HomeImp;Office;0;4200;56544;59218;19;0;0;211,0025991;1;19,02770442;1
DebtCon;Other;1;5100;15500;34000;0;1;2;86,23333333;2;;3
;;0;3100;;70400;;;;;;;3
HomeImp;Other;0;5800;;41119;2;0;0;261,4052186;0;42,19194156;1
HomeImp;Office;1;6000;;;13;;2;122,7666667;;;3
DebtCon;ProfExe;1;6000;179397;200000;5;6;0;90,3;6;;3
HomeImp;Mgr;0;6000;53227;68700;3;0;2;122,7333333;0;;3
DebtCon;Sales;0;4900;170986;245300;;0;0;131,9333333;0;;3
;;0;4900;;69706;;;;;;33,70558774;1
HomeImp;Mgr;0;4000;67533;71865;10;;2;227,7929884;0;39,1663287;1
DebtCon;Other;1;6000;42000;58305;19;0;0;90;2;;3
HomeImp;Other;0;5700;71556;79538;2;0;0;92,64308456;0;41,21001247;1
DebtCon;Other;1;3300;130518;164317;9;0;6;192,289149;0;35,73055919;1
HomeImp;ProfExe;0;3600;83700;111800;6;0;0;192,7333333;1;;3
DebtCon;Mgr;0;5800;75000;90543;18;0;0;300,4872058;1;38,94057536;1
HomeImp;Other;1;4000;58000;69440;3,5;0;1;168,6666667;0;;3
HomeImp;Mgr;1;5500;;13770;5;0;1;167,3666667;1;;3
HomeImp;Mgr;1;5000;78893;82600;16;0;0;133,9;1;;3
HomeImp;Other;1;3000;;14100;1;0;0;104,2;0;;3
HomeImp;Self;0;3800;11543;46045;;0;0;204,6479917;0;42,17316588;1
DebtCon;Other;0;5000;;26550;1,7;0;0;276,9666667;1;;3
HomeImp;ProfExe;1;3000;47000;82700;10;0;1;262,1666667;5;;3
DebtCon;Other;1;5900;25972;41856;2;0;2;157,9600114;3;40,62827817;1
HomeImp;Mgr;1;5000;100000;129693,5;13;;;;;;3
HomeImp;Other;1;5000;22320;34900;10;0;0;65,7;1;;3
DebtCon;ProfExe;0;3900;52825;63000;8;0;4;171,6666667;1;;3
DebtCon;Other;1;4000;5700;18000;;0;0;12,2;0;;3
HomeImp;Other;1;5500;;12972;1;0;1;82,29426635;0;36,9867441;1
HomeImp;Other;1;5500;;43132;;;;;;;3
HomeImp;Other;1;2100;71000;83850;8;0;1;123;0;;3
HomeImp;Other;1;5300;26908;36078;;0;0;302,3587095;0;39,1969854;1
HomeImp;Other;1;5600;55160;86800;3;1;1;148,1333333;1;;3
DebtCon;Sales;1;5700;70000;84579;0,1;0;0;95,9;1;;3
HomeImp;Mgr;1;5000;40000;70500;0,4;0;0;61,76666667;2;;3
HomeImp;Office;0;4000;54543;61777;21;0;0;205,58668;0;21,80656346;1
HomeImp;ProfExe;0;5500;87438;116679;6;0;0;186,424416;1;28,4175309;1
DebtCon;ProfExe;0;5500;87765;101053;22;0;0;55,55804904;2;31,37554242;1
HomeImp;Sales;0;5500;71644;72696;4;2;0;150,8658451;0;40,44256778;1
HomeImp;Office;0;5000;39000;50340;10;;;179,8333333;;;3
HomeImp;;0;4500;;49044;0;0;0;;0;11,6527388;1
DebtCon;Other;0;5100;74071;97064;0;0;0;121,0759726;2;36,40172955;1
HomeImp;Other;1;5000;22700;34225;4;0;0;74,63333333;3;;3
HomeImp;Other;0;6000;;43300;;;;100,9333333;;;3
HomeImp;Office;0;5000;44674;59375;10;;;178,6925087;;26,44819746;1
HomeImp;Other;1;1500;13500;16700;4;0;0;149,4666667;1;;3
HomeImp;Other;1;5600;5000;66700;31;1;1;204,0666667;0;;3
HomeImp;Office;0;5700;;69172;1;0;0;48,85366706;0;38,77368596;1
HomeImp;Other;1;5000;;37500;;0;3;107,1333333;10;;3
HomeImp;ProfExe;1;4000;74000;93000;2,6;1;3;186,6333333;;;3
DebtCon;ProfExe;1;2900;78600;113000;6;1;0;165,3333333;2;;3
DebtCon;Other;1;5500;21359;30000;7;3;2;130,8;3;;3
HomeImp;Other;1;5900;;33100;;0;0;238,6;1;;3
HomeImp;Other;1;2200;24280;34687;;0;1;300,8666667;0;;3
HomeImp;Other;1;3500;19400;20494;5;0;0;95,93333333;0;;3
HomeImp;Mgr;1;5500;37368;48502;9;0;2;48,995845;0;33,12648397;1
;Mgr;0;4900;65873;90408;2;0;0;141,858999;0;37,76961861;1
HomeImp;Other;0;5100;72891;80691;1;1;0;273,8817052;0;39,85214652;1
HomeImp;Office;0;3600;100693;114743;6;0;0;88,47045213;0;29,39354338;1
HomeImp;ProfExe;0;5000;26037;35000;12;0;0;182,6333333;0;;3
HomeImp;Other;1;3000;119826;193500;8;0;0;130,0333585;0;;3
HomeImp;Other;1;5000;46696;85202;2;1;2;148,3406455;0;46,489874;2
HomeImp;ProfExe;0;6000;129731;154113;12;0;0;213,5333333;0;;3
HomeImp;Other;0;5000;66839;87168;4;0;0;122,5972226;0;40,61677935;1
HomeImp;Other;0;5900;70973;77989;7;0;0;120,3794143;0;41,44250046;1
;;0;3800;;73189;;;;;;22,25394916;1
DebtCon;Sales;0;5800;172595;250155;;0;0;126,4009836;0;43,20775979;2
HomeImp;Other;1;3900;14500;22092;3,5;0;1;150,3;5;;3
DebtCon;;0;4700;53918;59511;6;;0;54,13647743;;34,41650781;1
;;0;5700;;74685;;;;;;24,27486527;1
HomeImp;Other;1;6000;;43683;;;;;;21,93549881;1
HomeImp;ProfExe;0;4700;88026;115506;6;0;0;182,2483316;0;29,20902258;1
;Mgr;0;2000;64536;87400;2,5;0;0;147,1333333;0;;3
HomeImp;Office;0;1700;97800;112000;3;0;0;93,33333333;0;;3
HomeImp;Other;0;5900;74187;78976;9;0;1;118,442491;0;40,11040743;1
DebtCon;Office;1;3600;48507;61000;13;1;4;97,4;0;;3
;;1;1500;;;;;;;;;3
HomeImp;Office;0;5300;47449;63895;19;0;0;208,162714;0;19,7621137;1
HomeImp;Other;1;5000;;71277;10;0;0;72,43333333;1;;3
HomeImp;ProfExe;0;5600;29648;39907;11;0;0;180,5630691;0;21,55494966;1
HomeImp;ProfExe;0;3200;74864;87266;7;0;0;250,6312692;0;42,90999735;2
;;0;5700;;64910;;;;;;33,85046122;1
HomeImp;Mgr;1;2400;28000;40800;12;0;0;67,2;2;;3
HomeImp;Other;1;4900;25597;23031;5;0;0;101,7467664;0;33,24315698;1
HomeImp;;0;5900;;51189;1;0;0;;0;12,74918064;1
HomeImp;Office;0;2400;98449;117195;4;0;0;93,81177485;0;29,68182705;1
HomeImp;Office;0;6000;14000;61493;23;0;0;321,6333333;1;;3
HomeImp;Other;1;3100;39589;36100;1,5;0;0;153,1666667;1;;3
HomeImp;Self;0;2500;7229;44516;;0;0;208;0;;3
HomeImp;Other;1;3000;;33000;1;0;1;23,3;1;;3
HomeImp;Other;0;5700;;39052;3;0;0;272,2206283;0;39,89610462;1
DebtCon;Mgr;0;5800;79296;86885;19;0;1;307,9748816;1;39,95910876;1
DebtCon;Sales;1;5400;45509;57453;4;0;0;95,6;0;;3
HomeImp;Other;0;4000;66000;79050;1,8;2;0;279;1;;3
HomeImp;Other;0;5700;62319;82923;4;0;0;117,6739652;0;42,46486629;2
HomeImp;Other;1;3500;23200;38666;11;0;0;162,3666667;0;;3
HomeImp;Self;1;2800;50795;63100;26;2;15;145,6333333;3;;3
HomeImp;Other;1;5000;;52000;;0;1;285,3333333;0;;3
DebtCon;ProfExe;1;4500;66517;87000;10;0;4;125,8;0;;3
HomeImp;Other;1;4500;57000;;5;;;222,6;1;;3
HomeImp;Other;0;4000;62000;78000;4;0;0;109,5666667;0;;3
HomeImp;Other;1;1300;70053;68400;7;0;2;121,8333333;0;;3
HomeImp;Other;1;5000;;9100;1;0;0;54,73333333;2;;3
DebtCon;;0;4200;44000;55085;6;;1;75,43333333;;;3
HomeImp;Other;1;5000;34200;50830;6;0;0;57;1;;3
HomeImp;Other;0;4500;45500;50000;6;0;0;86,16666667;0;;3
HomeImp;;0;4000;;45760;0;0;0;;0;;3
HomeImp;Mgr;0;3000;58000;71500;10;;2;211,9333333;0;;3
HomeImp;Other;1;2300;28192;40150;4,5;0;0;54,6;1;;3
DebtCon;Other;1;4000;55000;59000;12;2;0;146,1;0;;3
HomeImp;ProfExe;0;5000;90059;113714;7;0;0;193,6364469;0;25,89731648;1
HomeImp;Self;0;5000;12457;53448;;0;0;207,1434813;0;44,10795169;2
HomeImp;ProfExe;1;6000;40000;54600;4;0;4;101,4;0;;3
HomeImp;Other;1;2400;;17180;;0;0;14,56666667;3;;3
DebtCon;;0;5000;51209;55320;5;;1;69,1074656;;35,02507297;1
HomeImp;Other;1;6000;24600;30500;4,5;0;1;116,1;8;;3
HomeImp;Office;0;2900;103949;112505;1;0;0;96,10232967;0;30,05113629;1
HomeImp;Office;0;5600;41439;53893;8;;;181,3229899;;24,65139574;1
HomeImp;Other;0;4700;71855;88566;2;2;0;283,9595381;0;36,47547328;1
DebtCon;ProfExe;1;5700;74172;79846;0;0;0;157,0097747;0;47,41522866;2
HomeImp;Mgr;1;2400;34863;47471;12;0;0;70,49108003;1;38,26360073;1
HomeImp;Other;1;4000;41700;76725;0,5;0;3;136,1333333;0;;3
HomeImp;Other;1;5200;40564;39527;0;0;0;157,7710357;1;72,67043331;2
DebtCon;Other;0;5100;73882;96031;0;0;0;125,7874001;1;34,44607922;1
HomeImp;Mgr;1;2400;18000;;22;;2;121,7333333;0;;3
;Mgr;1;6000;16878;25850;1;0;1;218,6;5;;3
DebtCon;ProfExe;0;4400;53969;63869;7;0;3;162,3900107;0;23,58107924;1
HomeImp;Other;0;5000;66435;82819;2;0;0;125,1306256;0;42,18353867;1
DebtCon;ProfExe;0;4800;56067;63102;9;0;3;160,1463113;1;21,58376012;1
HomeImp;Mgr;1;5000;100882;102700;5;0;1;58,86666667;0;;3
HomeImp;Other;1;6000;32446;54904;2;0;0;51,73333333;1;;3
HomeImp;Other;0;5000;;36375;3;0;0;266,8;1;;3
DebtCon;Office;1;4400;53091;64074;14;1;3;89,86105825;0;39,15808483;1
HomeImp;Office;1;2000;20627;29800;11;0;1;122,5333333;1;;3
HomeImp;Mgr;1;3200;23159;;20;;2;117,8057478;0;0,524499215;1
DebtCon;ProfExe;1;5000;68000;75616;0,1;0;0;131,8666667;0;;3
HomeImp;ProfExe;1;5700;80437;109647;9,5;0;0;104,4;0;;3
DebtCon;Other;0;5100;;28291;2;0;0;277,9445608;1;23,64469128;1
HomeImp;Office;0;5300;97132;117343;22;0;0;109,9339079;1;35,8385427;1
HomeImp;Office;0;5400;;65474;1;0;0;40,709849;0;37,84877103;1
HomeImp;Mgr;1;6000;18793;27750;6;0;3;119,7;0;;3
HomeImp;Mgr;1;5000;85165;107940;6;5;3;122,7666667;5;;3
HomeImp;;1;2500;15000;20200;18;0;0;136,0666667;1;;3
HomeImp;Office;0;5000;;65400;1,5;0;0;51,76666667;0;;3
HomeImp;Mgr;1;6000;;95500;6;1;2;129,9;1;;3
HomeImp;Mgr;1;3600;41900;52490;3;0;0;72,03333333;2;;3
;Mgr;0;4800;67317;97191;3;0;0;137,3197248;0;34,27529378;1
HomeImp;Office;0;2900;104373;120702;2;0;0;101,5402975;0;29,91585903;1
HomeImp;ProfExe;0;5100;87258;121382;6;0;0;181,6630402;0;25,44475915;1
HomeImp;Mgr;1;5300;51000;64000;10;1;0;98,33333333;0;;3
DebtCon;ProfExe;0;5000;78565;98500;24;0;0;51,76666667;3;;3
HomeImp;Other;1;5000;40000;32480;8;3;2;163,3666667;1;;3
HomeImp;Office;0;3000;47000;56400;21;0;0;201,8666667;0;;3
HomeImp;Mgr;1;3000;34542;45900;8,5;0;2;62,36666667;0;;3
HomeImp;ProfExe;1;5400;59720;63450;5;0;1;199,9;1;;3
DebtCon;Other;0;6000;53500;64790;0,1;0;2;105,4;3;;3
HomeImp;Mgr;0;5300;60826;80826;10;;1;212,8917461;0;38,59149403;1
HomeImp;Mgr;0;3200;67848;74566;10;;1;206,4266021;0;40,11567728;1
HomeImp;Other;1;4100;58500;65000;8;1;2;63,93333333;2;;3
HomeImp;ProfExe;0;23000;213000;280000;7;;5;468,8666667;;;3
HomeImp;Other;1;10500;;18600;24;;;;;;3
HomeImp;;0;23700;93734;98099;8;;;;;30,02008799;1
DebtCon;Mgr;0;9300;58051;65334;6;;;113,2818573;;41,86003981;1
DebtCon;Office;1;23500;;143168;10;;;;;35,73356733;1
DebtCon;ProfExe;0;7400;75547;93839;0;;;;;28,16183185;1
;;0;12800;;;;;;;;25,13244854;1
HomeImp;Self;1;23000;163805;216500;3,5;;;;;;3
DebtCon;Other;0;13200;28428;34477;0;;;;;39,37026271;1
;;0;6100;;47400;;;;;;;3
DebtCon;;0;16400;62786;79154;7;;;;;24,83894007;1
DebtCon;Mgr;0;13000;40996;58938;;;;;;35,80961273;1
HomeImp;Other;0;11900;85179;122788;10;;;;;39,43073063;1
HomeImp;Other;1;7300;28500;42050;3;;;;;;3
;;0;26100;;151429;;;;;;15,56700107;1
HomeImp;Self;0;11400;84380;202186;13;0;0;34,91437168;;18,84034872;1
;;0;19800;47488;77916;;;;;;37,3082467;1
HomeImp;;0;24400;87838;104468;6;;;;;30,28035484;1
DebtCon;;0;17000;66894;75360;8;;;;;25,26009868;1
DebtCon;Other;0;13300;64002;88174;3;;;157,9169897;;29,79823118;1
;;0;8100;13179;32981;;;;;;31,74224928;1
;;0;10500;12630;32220;;;;;;34,34585989;1
;;0;22600;;144841;;;;;;16,38239069;1
;;0;24600;;146804;;;;;;17,26353485;1
;;0;13300;80059;121790;;;;;;34,5618314;1
HomeImp;Other;0;8000;79200;116500;8;;;;;;3
;;0;19000;43074;75700;;;;;;;3
DebtCon;Office;0;22500;127709;167975;1;;0;367,1895151;;37,88804981;1
HomeImp;Other;0;8200;;38648;;;;302,5301822;;30,44537563;1
DebtCon;ProfExe;0;8400;77916;93589;0;;;;;27,87387062;1
DebtCon;Other;0;17400;;48971;;;;345,0099186;;32,47431947;1
;;0;7700;14776;32287;;;;;;34,88046232;1
DebtCon;ProfExe;0;6100;77265;97944;0;;;;;28,87646305;1
DebtCon;Other;0;22300;21571;42590;25;0;0;297,6744627;;33,11701736;1
;Mgr;1;20000;87800;163800;14;2;6;244,0666667;;;3
DebtCon;Other;0;22300;24622;51631;28;0;0;316,6974746;;30,67643445;1
HomeImp;;0;21300;99613;147991;;;;;;38,49756059;1
;;0;8800;;74928;;;;;;23,98891307;1
HomeImp;Mgr;1;20000;27900;;21;;;;;;3
HomeImp;Other;0;6400;47251;58157;0;0;;104,7924684;;36,41688696;1
